# Program:featureCounts v2.0.8; Command:"featureCounts" "-a" "merged.saf" "-F" "SAF" "-o" "counts.txt" "-T" "8" "-p" "aFLAG_FIX_R1.target.filtered.sorted.bam" "aFLAG_FIX_R2.target.filtered.sorted.bam" "aFLAG_NATIVE_R1.target.filtered.sorted.bam" "aFLAG_NATIVE_R2.target.filtered.sorted.bam" "aFOXP3_FIX_R1.target.filtered.sorted.bam" "aFOXP3_FIX_R2.target.filtered.sorted.bam" "aFOXP3_NATIVE_R1.target.filtered.sorted.bam" "aFOXP3_NATIVE_R2.target.filtered.sorted.bam" "aH3K4me3_NATIVE_R1.target.filtered.sorted.bam" "IgG_FIX_R1.target.filtered.sorted.bam" "IgG_NATIVE_R1.target.filtered.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	aFLAG_FIX_R1.target.filtered.sorted.bam	aFLAG_FIX_R2.target.filtered.sorted.bam	aFLAG_NATIVE_R1.target.filtered.sorted.bam	aFLAG_NATIVE_R2.target.filtered.sorted.bam	aFOXP3_FIX_R1.target.filtered.sorted.bam	aFOXP3_FIX_R2.target.filtered.sorted.bam	aFOXP3_NATIVE_R1.target.filtered.sorted.bam	aFOXP3_NATIVE_R2.target.filtered.sorted.bam	aH3K4me3_NATIVE_R1.target.filtered.sorted.bam	IgG_FIX_R1.target.filtered.sorted.bam	IgG_NATIVE_R1.target.filtered.sorted.bam
chr1_36148914_36150172	chr1	36148914	36150172	.	1259	82	92	70	114	145	57	46	45	288	116	94
chr1_36150216_36158666	chr1	36150216	36158666	.	8451	98	99	146	246	162	102	162	130	4196	73	144
chr1_36159078_36161613	chr1	36159078	36161613	.	2536	24	10	10	18	40	25	8	2	66	22	20
chr1_36178029_36179800	chr1	36178029	36179800	.	1772	22	26	85	153	16	23	75	108	19	12	55
chr1_36223953_36225676	chr1	36223953	36225676	.	1724	26	47	40	38	114	39	35	14	256	54	55
chr1_36305823_36307482	chr1	36305823	36307482	.	1660	44	38	74	126	114	30	66	71	450	58	88
chr1_36320765_36324533	chr1	36320765	36324533	.	3769	98	44	230	258	98	64	108	147	714	84	118
chr1_36381749_36382666	chr1	36381749	36382666	.	918	1	9	0	2	0	6	2	4	24	8	12
chr1_36384732_36386511	chr1	36384732	36386511	.	1780	124	119	180	244	146	68	144	280	2142	182	86
chr1_36391273_36392719	chr1	36391273	36392719	.	1447	7	6	2	1	8	18	8	0	38	7	4
chr1_36396329_36398554	chr1	36396329	36398554	.	2226	56	34	50	64	108	46	16	44	176	58	74
chr1_36449959_36451607	chr1	36449959	36451607	.	1649	30	50	86	136	143	22	26	64	190	74	90
chr1_36458427_36459476	chr1	36458427	36459476	.	1050	8	14	0	14	21	4	2	2	24	4	0
chr1_36463435_36464699	chr1	36463435	36464699	.	1265	46	28	43	118	76	23	27	36	322	35	82
chr1_36466307_36467739	chr1	36466307	36467739	.	1433	9	4	40	10	10	8	16	5	11	8	15
chr1_36481751_36483363	chr1	36481751	36483363	.	1613	12	14	21	14	26	18	14	2	28	20	22
chr1_37032817_37033404	chr1	37032817	37033404	.	588	6	19	29	63	6	4	18	32	10	0	35
chr1_37033983_37035164	chr1	37033983	37035164	.	1182	6	1	48	64	0	2	8	62	20	22	14
chr1_37473716_37480580	chr1	37473716	37480580	.	6865	83	104	180	322	198	82	76	164	1910	98	98
chr1_37482250_37483241	chr1	37482250	37483241	.	992	11	8	14	56	10	9	6	9	24	10	6
chr1_37513536_37515410	chr1	37513536	37515410	.	1875	62	58	198	254	96	34	96	140	1232	88	58
chr1_37517495_37519843	chr1	37517495	37519843	.	2349	5	26	18	40	25	24	22	12	50	6	18
chr1_37553549_37554668	chr1	37553549	37554668	.	1120	22	18	26	50	43	36	20	30	694	28	48
chr1_37595038_37596299	chr1	37595038	37596299	.	1262	22	24	32	74	26	38	32	2	44	24	32
chr1_37633583_37635239	chr1	37633583	37635239	.	1657	28	2	62	124	9	4	10	24	10	30	29
chr1_37689327_37693659	chr1	37689327	37693659	.	4333	174	144	134	238	250	102	55	94	1226	201	218
chr1_37752646_37753777	chr1	37752646	37753777	.	1132	6	10	46	32	6	0	16	68	42	5	2
chr1_37792739_37795305	chr1	37792739	37795305	.	2567	16	18	58	66	4	16	42	92	122	27	26
chr1_37805775_37809471	chr1	37805775	37809471	.	3697	106	82	78	256	140	56	78	92	1484	72	56
chr1_37858564_37860860	chr1	37858564	37860860	.	2297	78	48	53	160	128	34	36	82	417	58	84
chr1_37928721_37930516	chr1	37928721	37930516	.	1796	6	0	12	1	40	6	0	0	32	13	32
chr1_37930925_37932186	chr1	37930925	37932186	.	1262	67	58	80	134	80	33	46	58	612	56	39
chr1_37988781_37990437	chr1	37988781	37990437	.	1657	37	21	25	24	43	28	20	2	84	20	18
chr1_37992319_37993634	chr1	37992319	37993634	.	1316	18	2	13	0	2	3	2	0	34	18	10
chr1_37995644_37997700	chr1	37995644	37997700	.	2057	40	4	44	90	25	26	44	28	70	13	2
chr1_37997867_37998636	chr1	37997867	37998636	.	770	8	2	8	2	8	4	12	0	26	9	0
chr1_37999762_38000820	chr1	37999762	38000820	.	1059	2	2	4	0	0	9	2	2	32	14	4
chr1_38001244_38001927	chr1	38001244	38001927	.	684	6	2	10	0	7	0	1	0	20	2	3
chr1_38004314_38006454	chr1	38004314	38006454	.	2141	22	14	34	29	19	6	22	34	540	8	4
chr1_38012035_38013195	chr1	38012035	38013195	.	1161	31	31	16	46	67	19	2	2	30	68	19
chr1_38044866_38048202	chr1	38044866	38048202	.	3337	54	55	122	182	46	8	108	120	140	30	38
chr1_38475788_38476901	chr1	38475788	38476901	.	1114	26	6	20	33	23	11	24	32	30	6	14
chr1_38817693_38818624	chr1	38817693	38818624	.	932	6	6	58	45	10	10	16	38	14	4	42
chr1_38857492_38863384	chr1	38857492	38863384	.	5893	165	122	128	286	224	77	124	186	1756	152	134
chr1_38869865_38871670	chr1	38869865	38871670	.	1806	16	14	9	12	8	0	12	16	26	6	28
chr1_38872387_38873847	chr1	38872387	38873847	.	1461	112	63	60	160	149	64	40	62	483	121	102
chr1_38990570_38992502	chr1	38990570	38992502	.	1933	64	44	140	294	118	52	61	114	1772	100	30
chr1_39026950_39027587	chr1	39026950	39027587	.	638	13	10	0	14	8	10	0	4	34	17	2
chr1_39080719_39082439	chr1	39080719	39082439	.	1721	2	21	66	64	8	10	50	66	132	22	32
chr1_39104618_39106535	chr1	39104618	39106535	.	1918	21	18	80	80	23	21	60	108	1320	18	22
chr1_39408147_39410082	chr1	39408147	39410082	.	1936	90	65	228	322	105	64	122	218	616	144	90
chr1_39490518_39492536	chr1	39490518	39492536	.	2019	18	20	106	120	10	4	70	78	156	32	15
chr1_39575347_39577641	chr1	39575347	39577641	.	2295	90	78	80	86	86	43	95	138	1420	104	52
chr1_39609688_39610609	chr1	39609688	39610609	.	922	0	7	50	22	34	9	7	12	12	10	8
chr1_39639111_39640421	chr1	39639111	39640421	.	1311	18	10	40	76	18	8	34	44	28	8	6
chr1_39671077_39672496	chr1	39671077	39672496	.	1420	42	14	52	142	29	12	23	28	30	12	36
chr1_39683745_39684116	chr1	39683745	39684116	.	372	12	0	29	33	13	2	34	36	7	2	5
chr1_39690673_39692763	chr1	39690673	39692763	.	2091	78	90	106	143	180	87	98	122	152	53	71
chr1_39738666_39740006	chr1	39738666	39740006	.	1341	12	29	2	15	43	10	3	4	20	27	12
chr1_39787904_39789879	chr1	39787904	39789879	.	1976	22	6	84	74	30	7	56	114	234	22	20
chr1_39799050_39799849	chr1	39799050	39799849	.	800	11	5	4	6	34	14	1	1	22	6	4
chr1_39808195_39808635	chr1	39808195	39808635	.	441	15	10	50	35	13	3	11	18	4	22	12
chr1_39869228_39870202	chr1	39869228	39870202	.	975	12	14	42	28	18	2	28	42	9	13	18
chr1_39883036_39884094	chr1	39883036	39884094	.	1059	80	74	50	102	148	49	44	34	302	81	90
chr1_39900668_39902934	chr1	39900668	39902934	.	2267	24	30	88	96	80	25	58	78	376	56	58
chr1_39954280_39955866	chr1	39954280	39955866	.	1587	30	8	41	116	78	30	36	24	180	62	76
chr1_40038432_40042648	chr1	40038432	40042648	.	4217	129	110	54	138	318	107	46	38	882	132	134
chr1_40043050_40043947	chr1	40043050	40043947	.	898	8	19	13	12	12	3	4	0	28	4	16
chr1_40096868_40097573	chr1	40096868	40097573	.	706	15	28	54	28	94	26	22	22	100	29	90
chr1_40160344_40162986	chr1	40160344	40162986	.	2643	108	74	80	94	122	65	28	56	836	108	84
chr1_40257372_40259132	chr1	40257372	40259132	.	1761	24	31	12	30	133	26	12	12	74	33	30
chr1_40314856_40317800	chr1	40314856	40317800	.	2945	68	34	94	214	135	44	56	104	180	72	78
chr1_40372922_40375427	chr1	40372922	40375427	.	2506	84	154	56	210	202	90	71	116	1936	131	128
chr1_40387574_40388911	chr1	40387574	40388911	.	1338	40	33	24	92	57	49	20	46	64	38	14
chr1_40449686_40451238	chr1	40449686	40451238	.	1553	62	45	44	210	120	38	22	32	140	103	42
chr1_40476712_40477959	chr1	40476712	40477959	.	1248	8	21	44	48	14	11	6	20	150	2	10
chr1_40508057_40509465	chr1	40508057	40509465	.	1409	35	23	26	72	114	28	20	24	114	48	38
chr1_40664913_40666281	chr1	40664913	40666281	.	1369	7	6	52	40	29	11	40	58	128	24	12
chr1_40690626_40693143	chr1	40690626	40693143	.	2518	128	99	98	178	274	111	54	96	468	106	74
chr1_40783300_40784036	chr1	40783300	40784036	.	737	8	4	52	30	1	0	10	24	24	6	10
chr1_40785520_40786328	chr1	40785520	40786328	.	809	4	0	9	3	8	8	6	3	20	1	2
chr1_40802014_40802745	chr1	40802014	40802745	.	732	32	34	26	68	107	28	42	42	20	34	66
chr1_40817880_40819953	chr1	40817880	40819953	.	2074	32	18	64	49	46	22	25	34	45	31	26
chr1_40838132_40839274	chr1	40838132	40839274	.	1143	20	12	46	118	12	3	12	36	10	6	34
chr1_40861011_40863131	chr1	40861011	40863131	.	2121	16	26	163	99	21	15	60	78	284	34	22
chr1_40883656_40884834	chr1	40883656	40884834	.	1179	12	4	28	75	2	3	38	34	21	14	12
chr1_40978335_40981194	chr1	40978335	40981194	.	2860	230	214	212	426	380	196	178	350	1052	280	284
chr1_41241119_41243637	chr1	41241119	41243637	.	2519	28	32	110	176	44	16	86	94	1296	44	34
chr1_41360862_41362796	chr1	41360862	41362796	.	1935	36	15	106	146	41	14	84	118	228	44	24
chr1_41366071_41366738	chr1	41366071	41366738	.	668	7	10	15	75	10	9	20	16	20	5	8
chr1_41381622_41382800	chr1	41381622	41382800	.	1179	19	14	52	124	9	6	21	36	46	34	6
chr1_41495573_41497062	chr1	41495573	41497062	.	1490	28	4	54	77	68	11	40	36	30	12	26
chr1_41661225_41663226	chr1	41661225	41663226	.	2002	34	35	114	117	49	12	108	126	736	46	36
chr1_41773287_41773763	chr1	41773287	41773763	.	477	4	0	0	0	4	0	6	0	20	0	2
chr1_41917092_41918770	chr1	41917092	41918770	.	1679	11	14	36	70	25	12	47	54	90	38	4
chr1_42034991_42036437	chr1	42034991	42036437	.	1447	16	24	28	50	36	18	42	36	276	29	30
chr1_42334075_42335874	chr1	42334075	42335874	.	1800	63	62	140	252	104	28	92	160	1866	128	28
chr1_42380087_42381495	chr1	42380087	42381495	.	1409	8	38	47	52	31	12	51	46	354	18	15
chr1_42455305_42457730	chr1	42455305	42457730	.	2426	106	148	139	335	279	125	102	134	672	119	90
chr1_42463029_42463648	chr1	42463029	42463648	.	620	20	35	34	42	33	28	14	30	8	16	14
chr1_42657639_42658888	chr1	42657639	42658888	.	1250	10	12	14	7	65	25	2	12	28	30	24
chr1_42681673_42683692	chr1	42681673	42683692	.	2020	125	142	136	162	112	74	113	260	2462	108	57
chr1_42738182_42739414	chr1	42738182	42739414	.	1233	10	12	12	6	20	6	32	8	2	4	30
chr1_42765879_42768053	chr1	42765879	42768053	.	2175	90	109	128	300	286	58	78	152	2308	148	196
chr1_42784522_42785538	chr1	42784522	42785538	.	1017	21	26	66	54	21	12	28	22	11	2	26
chr1_42816527_42817789	chr1	42816527	42817789	.	1263	68	35	88	172	100	23	122	140	346	75	27
chr1_42846355_42847524	chr1	42846355	42847524	.	1170	38	99	54	94	89	44	38	48	850	64	50
chr1_42887490_42888370	chr1	42887490	42888370	.	881	2	12	40	39	13	0	12	22	20	14	22
chr1_42916592_42917598	chr1	42916592	42917598	.	1007	2	18	12	22	2	0	6	26	22	8	8
chr1_42923654_42925695	chr1	42923654	42925695	.	2042	94	116	68	124	161	96	30	80	284	109	136
chr1_42927568_42929088	chr1	42927568	42929088	.	1521	15	20	12	7	8	12	11	7	26	18	14
chr1_42930214_42932472	chr1	42930214	42932472	.	2259	37	40	29	37	71	48	24	6	46	54	28
chr1_42934413_42935621	chr1	42934413	42935621	.	1209	10	14	10	4	12	4	14	0	32	5	24
chr1_42952096_42953151	chr1	42952096	42953151	.	1056	2	6	21	12	14	8	0	0	26	15	18
chr1_42954395_42955847	chr1	42954395	42955847	.	1453	16	0	0	12	14	6	2	4	32	4	12
chr1_42956030_42960481	chr1	42956030	42960481	.	4452	56	74	136	172	135	51	110	162	3456	94	55
chr1_43006753_43007903	chr1	43006753	43007903	.	1151	2	10	18	114	10	0	36	22	9	4	8
chr1_43067994_43069147	chr1	43067994	43069147	.	1154	12	4	38	15	2	2	18	30	24	4	16
chr1_43171465_43172960	chr1	43171465	43172960	.	1496	36	41	46	76	98	30	16	14	100	52	60
chr1_43304771_43305299	chr1	43304771	43305299	.	529	20	7	32	86	0	6	14	28	22	7	12
chr1_43348601_43349704	chr1	43348601	43349704	.	1104	14	6	56	65	18	10	40	20	54	12	10
chr1_43357852_43361758	chr1	43357852	43361758	.	3907	48	42	75	109	151	28	34	26	816	76	100
chr1_43362437_43370325	chr1	43362437	43370325	.	7889	126	110	162	222	208	84	92	154	2800	127	128
chr1_43371437_43373189	chr1	43371437	43373189	.	1753	12	6	4	0	20	10	2	4	26	1	4
chr1_43377438_43379060	chr1	43377438	43379060	.	1623	0	7	2	8	12	9	10	2	38	2	8
chr1_43388210_43390641	chr1	43388210	43390641	.	2432	56	38	36	44	128	59	46	32	508	47	50
chr1_43453064_43454202	chr1	43453064	43454202	.	1139	32	2	104	115	37	17	48	58	217	29	12
chr1_43530489_43532016	chr1	43530489	43532016	.	1528	28	12	48	32	8	6	55	52	54	12	10
chr1_43565492_43566303	chr1	43565492	43566303	.	812	18	6	32	30	22	18	15	40	28	27	17
chr1_43570313_43571195	chr1	43570313	43571195	.	883	6	0	10	26	14	0	14	28	12	6	17
chr1_43650316_43651053	chr1	43650316	43651053	.	738	36	38	14	41	93	35	9	5	146	38	46
chr1_43706309_43708436	chr1	43706309	43708436	.	2128	53	32	88	115	42	25	97	194	1120	44	2
chr1_43945449_43948668	chr1	43945449	43948668	.	3220	83	96	144	196	202	62	62	100	816	115	132
chr1_43949588_43950451	chr1	43949588	43950451	.	864	3	2	0	12	5	4	10	4	24	8	7
chr1_43969998_43979161	chr1	43969998	43979161	.	9164	184	158	157	316	226	86	68	88	2192	172	139
chr1_43979329_43980581	chr1	43979329	43980581	.	1253	4	16	54	94	12	8	14	42	357	14	12
chr1_43983627_43984484	chr1	43983627	43984484	.	858	4	6	2	13	2	0	0	1	22	1	0
chr1_43991356_43992555	chr1	43991356	43992555	.	1200	35	6	46	93	34	22	22	14	108	45	62
chr1_44000590_44001522	chr1	44000590	44001522	.	933	8	9	13	28	2	1	3	16	30	25	23
chr1_44029632_44031924	chr1	44029632	44031924	.	2293	107	96	158	178	166	57	92	186	1072	108	112
chr1_44213302_44213924	chr1	44213302	44213924	.	623	21	14	18	18	36	24	8	28	30	18	12
chr1_44354495_44355824	chr1	44354495	44355824	.	1330	46	23	138	91	25	10	52	124	342	42	26
chr1_44405124_44406261	chr1	44405124	44406261	.	1138	20	22	38	44	13	30	12	38	62	0	11
chr1_44406379_44408175	chr1	44406379	44408175	.	1797	39	18	50	130	37	23	48	76	34	46	50
chr1_44417083_44418589	chr1	44417083	44418589	.	1507	21	25	52	90	36	13	34	40	30	13	34
chr1_44616780_44618121	chr1	44616780	44618121	.	1342	12	12	60	100	31	6	32	58	2	6	30
chr1_44621696_44622798	chr1	44621696	44622798	.	1103	14	8	16	30	10	4	0	10	20	6	18
chr1_44631322_44633033	chr1	44631322	44633033	.	1712	72	32	85	114	101	26	68	114	832	74	50
chr1_44645553_44647006	chr1	44645553	44647006	.	1454	8	10	62	41	9	1	24	26	20	20	22
chr1_44673689_44676082	chr1	44673689	44676082	.	2394	118	127	74	134	563	212	72	50	302	134	148
chr1_44724088_44725428	chr1	44724088	44725428	.	1341	35	17	51	36	45	6	25	42	26	8	11
chr1_44729393_44730253	chr1	44729393	44730253	.	861	12	17	10	10	17	13	8	8	22	20	36
chr1_44732882_44734176	chr1	44732882	44734176	.	1295	0	8	2	0	10	18	8	0	22	17	3
chr1_44739452_44740303	chr1	44739452	44740303	.	852	4	6	2	16	40	19	8	2	26	16	22
chr1_44774990_44777845	chr1	44774990	44777845	.	2856	68	100	75	142	136	54	64	92	1240	132	66
chr1_44778357_44778831	chr1	44778357	44778831	.	475	8	2	2	0	4	10	0	0	20	2	2
chr1_44783793_44784772	chr1	44783793	44784772	.	980	30	21	40	50	28	2	32	40	64	24	20
chr1_44786202_44786846	chr1	44786202	44786846	.	645	26	15	10	51	18	18	16	8	36	8	54
chr1_44799278_44806970	chr1	44799278	44806970	.	7693	152	142	318	410	388	159	213	364	1922	172	164
chr1_44807911_44809022	chr1	44807911	44809022	.	1112	13	36	17	60	87	45	18	11	36	17	26
chr1_44812733_44814725	chr1	44812733	44814725	.	1993	88	56	96	168	154	18	60	105	102	68	77
chr1_44818425_44820014	chr1	44818425	44820014	.	1590	23	20	9	20	34	44	2	8	22	16	15
chr1_44842429_44843986	chr1	44842429	44843986	.	1558	26	18	52	62	18	14	30	24	28	22	46
chr1_44985687_44988014	chr1	44985687	44988014	.	2328	34	44	18	88	52	38	24	35	76	40	48
chr1_45007206_45007744	chr1	45007206	45007744	.	539	10	0	8	10	0	0	8	0	20	2	0
chr1_45010232_45012120	chr1	45010232	45012120	.	1889	56	55	70	156	57	38	54	71	1262	66	18
chr1_45104974_45106863	chr1	45104974	45106863	.	1890	12	6	72	74	26	4	16	28	4	20	62
chr1_45205899_45207238	chr1	45205899	45207238	.	1340	17	14	50	77	48	24	47	68	344	78	44
chr1_45302895_45305040	chr1	45302895	45305040	.	2146	149	136	77	221	388	162	124	150	463	157	116
chr1_45326640_45328155	chr1	45326640	45328155	.	1516	14	2	24	74	51	18	8	14	122	22	23
chr1_45339086_45341343	chr1	45339086	45341343	.	2258	46	108	68	100	146	76	20	30	274	69	35
chr1_45490398_45491518	chr1	45490398	45491518	.	1121	46	42	24	34	144	30	24	28	368	68	81
chr1_45492027_45493313	chr1	45492027	45493313	.	1287	14	21	2	15	30	30	16	8	24	21	7
chr1_45496176_45497584	chr1	45496176	45497584	.	1409	16	0	11	2	12	6	12	4	32	6	0
chr1_45500026_45501013	chr1	45500026	45501013	.	988	12	20	10	5	18	17	24	4	20	9	4
chr1_45520092_45522328	chr1	45520092	45522328	.	2237	52	75	46	128	113	55	54	93	500	126	63
chr1_45547647_45549493	chr1	45547647	45549493	.	1847	15	8	5	20	22	10	20	12	38	8	16
chr1_45550436_45551454	chr1	45550436	45551454	.	1019	27	21	12	44	56	32	12	10	66	44	25
chr1_45556048_45557181	chr1	45556048	45557181	.	1134	4	2	13	38	3	4	6	16	20	6	0
chr1_45567687_45568468	chr1	45567687	45568468	.	782	2	0	9	13	2	2	1	2	20	4	4
chr1_45583286_45585066	chr1	45583286	45585066	.	1781	98	81	106	198	219	56	10	89	894	136	118
chr1_45622209_45623551	chr1	45622209	45623551	.	1343	24	4	44	72	6	8	22	20	8	26	27
chr1_45683030_45684094	chr1	45683030	45684094	.	1065	13	5	6	4	4	1	3	6	28	16	2
chr1_45684945_45687878	chr1	45684945	45687878	.	2934	180	90	92	140	346	124	38	118	620	161	108
chr1_45688573_45690208	chr1	45688573	45690208	.	1636	15	6	11	12	27	12	2	12	52	27	16
chr1_45749367_45751203	chr1	45749367	45751203	.	1837	97	70	72	182	174	48	56	26	206	75	82
chr1_45803104_45804655	chr1	45803104	45804655	.	1552	10	18	33	52	41	16	74	90	972	44	2
chr1_46132180_46134049	chr1	46132180	46134049	.	1870	62	41	22	74	85	22	12	14	222	62	35
chr1_46194624_46195750	chr1	46194624	46195750	.	1127	0	4	9	8	16	4	0	8	20	9	4
chr1_46197990_46199246	chr1	46197990	46199246	.	1257	8	4	18	34	36	28	10	4	130	12	16
chr1_46202603_46203609	chr1	46202603	46203609	.	1007	2	10	14	34	9	8	4	16	20	38	20
chr1_46246608_46248237	chr1	46246608	46248237	.	1630	29	40	46	66	82	19	23	38	214	16	54
chr1_46301118_46305848	chr1	46301118	46305848	.	4731	214	170	218	325	204	100	121	236	4704	193	116
chr1_46332259_46332813	chr1	46332259	46332813	.	555	6	4	8	0	2	7	1	6	20	14	6
chr1_46339770_46341341	chr1	46339770	46341341	.	1572	12	24	67	37	71	23	10	6	72	32	11
chr1_46393932_46394671	chr1	46393932	46394671	.	740	30	2	30	20	15	2	28	46	38	2	8
chr1_46447884_46449066	chr1	46447884	46449066	.	1183	2	0	44	36	7	0	16	18	17	0	0
chr1_46465916_46467373	chr1	46465916	46467373	.	1458	32	20	53	92	24	12	18	20	42	18	25
chr1_46488904_46491071	chr1	46488904	46491071	.	2168	32	11	82	121	48	20	56	54	52	14	49
chr1_46532488_46533998	chr1	46532488	46533998	.	1511	1	8	32	20	12	20	28	60	47	8	4
chr1_46603484_46604529	chr1	46603484	46604529	.	1046	31	10	26	50	87	24	13	11	108	12	26
chr1_46606331_46607884	chr1	46606331	46607884	.	1554	4	2	0	15	18	8	2	6	32	9	14
chr1_46608190_46609537	chr1	46608190	46609537	.	1348	8	2	0	2	2	4	0	0	24	11	2
chr1_46610172_46612266	chr1	46610172	46612266	.	2095	0	10	2	11	23	8	4	8	42	10	33
chr1_46612793_46614644	chr1	46612793	46614644	.	1852	20	4	26	10	16	9	19	6	42	8	46
chr1_46615549_46617384	chr1	46615549	46617384	.	1836	42	42	126	196	60	39	80	78	704	60	94
chr1_46667651_46668786	chr1	46667651	46668786	.	1136	6	10	40	56	21	7	41	108	1088	6	20
chr1_46718043_46719729	chr1	46718043	46719729	.	1687	111	96	151	273	188	24	80	174	1334	95	28
chr1_47225258_47225991	chr1	47225258	47225991	.	734	6	3	68	41	8	0	14	54	11	7	4
chr1_47231761_47232565	chr1	47231761	47232565	.	805	14	4	42	48	24	3	44	44	28	14	20
chr1_47312860_47314501	chr1	47312860	47314501	.	1642	29	59	34	108	104	45	8	28	114	44	60
chr1_47319616_47320546	chr1	47319616	47320546	.	931	2	4	0	0	6	6	0	0	26	8	6
chr1_47333120_47335264	chr1	47333120	47335264	.	2145	54	62	78	114	124	35	68	96	716	51	18
chr1_47336268_47336815	chr1	47336268	47336815	.	548	0	1	0	6	0	0	3	0	20	0	0
chr1_47416151_47417817	chr1	47416151	47417817	.	1667	14	5	30	51	2	5	48	48	18	17	0
chr1_47436417_47440028	chr1	47436417	47440028	.	3612	158	95	220	356	120	72	170	263	1394	132	56
chr1_47507565_47508844	chr1	47507565	47508844	.	1280	28	16	54	70	16	2	30	38	16	27	32
chr1_47532979_47534028	chr1	47532979	47534028	.	1050	16	8	48	40	54	8	12	18	10	18	26
chr1_47593009_47593755	chr1	47593009	47593755	.	747	2	14	52	39	4	4	20	16	10	15	41
chr1_47708240_47710746	chr1	47708240	47710746	.	2507	18	13	62	110	38	11	54	44	18	26	64
chr1_47724932_47725633	chr1	47724932	47725633	.	702	4	10	62	82	20	10	26	60	6	0	62
chr1_47996613_47998016	chr1	47996613	47998016	.	1404	10	10	36	33	13	5	14	30	26	6	12
chr1_48174182_48174739	chr1	48174182	48174739	.	558	6	6	6	34	0	2	2	34	3	2	10
chr1_48435535_48435915	chr1	48435535	48435915	.	381	2	2	12	14	2	0	15	36	4	0	2
chr1_48471691_48472455	chr1	48471691	48472455	.	765	47	37	60	96	103	55	34	51	62	60	24
chr1_48776236_48777635	chr1	48776236	48777635	.	1400	42	30	87	90	46	22	28	56	1082	25	14
chr1_50023614_50024313	chr1	50023614	50024313	.	700	16	0	25	22	6	2	23	16	20	0	10
chr1_50332631_50333862	chr1	50332631	50333862	.	1232	28	16	60	68	47	11	14	26	32	22	6
chr1_50415173_50415949	chr1	50415173	50415949	.	777	5	2	12	26	1	0	0	0	26	3	10
chr1_50418963_50419887	chr1	50418963	50419887	.	925	12	6	18	45	15	6	13	38	13	22	11
chr1_50422602_50423825	chr1	50422602	50423825	.	1224	11	18	16	50	27	6	38	28	36	14	32
chr1_50959501_50961252	chr1	50959501	50961252	.	1752	94	72	47	124	163	69	36	51	380	94	58
chr1_50967817_50970152	chr1	50967817	50970152	.	2336	104	62	178	276	238	42	83	90	1699	92	88
chr1_50972313_50973629	chr1	50972313	50973629	.	1317	2	4	0	0	4	16	0	0	30	0	0
chr1_50976832_50978724	chr1	50976832	50978724	.	1893	44	14	54	90	72	12	41	42	680	63	8
chr1_51235759_51237502	chr1	51235759	51237502	.	1744	66	58	70	164	40	22	48	64	1068	64	60
chr1_51344476_51345365	chr1	51344476	51345365	.	890	6	10	40	51	6	2	28	68	23	12	16
chr1_51517624_51519774	chr1	51517624	51519774	.	2151	42	52	116	128	57	37	108	276	1884	54	20
chr1_51616891_51617543	chr1	51616891	51617543	.	653	22	19	40	39	66	23	26	21	64	26	40
chr1_51728386_51730358	chr1	51728386	51730358	.	1973	74	78	60	112	212	86	48	42	659	66	38
chr1_51847211_51848019	chr1	51847211	51848019	.	809	8	6	14	46	16	2	8	32	10	0	26
chr1_51877966_51879923	chr1	51877966	51879923	.	1958	57	93	84	56	139	82	44	32	330	97	98
chr1_51989673_51991201	chr1	51989673	51991201	.	1529	27	12	46	160	17	6	21	36	89	12	17
chr1_52032493_52034439	chr1	52032493	52034439	.	1947	72	60	56	66	130	52	44	64	400	56	50
chr1_52054010_52057051	chr1	52054010	52057051	.	3042	80	73	66	232	218	74	38	108	834	74	66
chr1_52141158_52143010	chr1	52141158	52143010	.	1853	47	24	82	110	46	23	100	162	572	36	14
chr1_52365018_52366766	chr1	52365018	52366766	.	1749	212	288	160	354	362	125	122	106	1614	281	216
chr1_52368173_52368868	chr1	52368173	52368868	.	696	10	12	35	76	17	9	13	13	30	23	6
chr1_52403897_52404925	chr1	52403897	52404925	.	1029	35	18	6	36	99	24	10	6	120	33	17
chr1_52551894_52554212	chr1	52551894	52554212	.	2319	98	84	136	224	186	79	48	110	1282	76	66
chr1_52601478_52603324	chr1	52601478	52603324	.	1847	21	24	18	38	37	26	36	36	268	19	21
chr1_52632752_52633861	chr1	52632752	52633861	.	1110	40	35	58	74	26	18	42	80	264	34	0
chr1_52694368_52695815	chr1	52694368	52695815	.	1448	2	6	4	14	4	7	2	0	32	8	0
chr1_52697458_52698716	chr1	52697458	52698716	.	1259	18	48	46	144	71	18	28	32	380	47	86
chr1_52725976_52727694	chr1	52725976	52727694	.	1719	62	89	116	244	64	34	100	110	554	113	28
chr1_52842397_52844245	chr1	52842397	52844245	.	1849	22	32	70	120	123	18	56	88	162	36	24
chr1_52869687_52870616	chr1	52869687	52870616	.	930	4	8	18	77	6	2	10	36	6	8	8
chr1_52920385_52921899	chr1	52920385	52921899	.	1515	49	28	92	120	112	22	40	64	188	59	90
chr1_52926887_52928058	chr1	52926887	52928058	.	1172	12	21	50	101	60	30	24	24	180	38	49
chr1_53061491_53063458	chr1	53061491	53063458	.	1968	9	22	83	128	19	8	36	26	13	23	28
chr1_53078559_53079469	chr1	53078559	53079469	.	911	8	0	36	19	7	4	38	13	3	0	52
