# Program:featureCounts v2.0.8; Command:"featureCounts" "-a" "merged_peaks.saf" "-F" "SAF" "-p" "-o" "counts.txt" "../../../../results_no_normalisation/02_alignment/bowtie2/target/aFLAG_FIX_R1.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/aFLAG_FIX_R2.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/aFLAG_NATIVE_R1.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/aFLAG_NATIVE_R2.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/aFOXP3_FIX_R1.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/aFOXP3_FIX_R2.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/aFOXP3_NATIVE_R1.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/aFOXP3_NATIVE_R2.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/aH3K4me3_NATIVE_R1.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/IgG_FIX_R1.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/IgG_NATIVE_R1.target.filtered.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../../../../results_no_normalisation/02_alignment/bowtie2/target/aFLAG_FIX_R1.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/aFLAG_FIX_R2.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/aFLAG_NATIVE_R1.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/aFLAG_NATIVE_R2.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/aFOXP3_FIX_R1.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/aFOXP3_FIX_R2.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/aFOXP3_NATIVE_R1.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/aFOXP3_NATIVE_R2.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/aH3K4me3_NATIVE_R1.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/IgG_FIX_R1.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/IgG_NATIVE_R1.target.filtered.sorted.bam
peak6051	chr14	20609489	20610122	.	634	42	50	42	27	120	36	26	18	188	49	44
peak6052	chr14	20681698	20685072	.	3375	115	124	76	124	194	110	36	30	396	128	88
peak6053	chr14	20989526	20990960	.	1435	32	12	39	38	66	22	24	14	70	22	16
peak6054	chr14	21024686	21026194	.	1509	30	36	42	142	64	14	32	64	58	48	76
peak6055	chr14	21069472	21071096	.	1625	29	12	36	31	14	22	44	42	84	12	29
peak6056	chr14	21089887	21093456	.	3570	62	52	158	254	93	41	76	156	84	74	152
peak6057	chr14	21094963	21096245	.	1283	2	4	4	2	2	14	3	0	22	12	0
peak6058	chr14	21097501	21099142	.	1642	28	37	34	50	24	6	12	32	140	14	0
peak6059	chr14	21102846	21104712	.	1867	114	89	40	156	300	77	50	68	512	70	126
peak6060	chr14	21265280	21268127	.	2848	34	42	2	18	48	32	19	0	62	22	16
peak6061	chr14	21270351	21272072	.	1722	16	24	8	21	19	19	12	10	24	4	10
peak6062	chr14	21300839	21301383	.	545	13	16	22	60	4	12	10	8	22	6	4
peak6063	chr14	21382871	21384709	.	1839	60	52	32	86	98	22	31	34	66	74	10
peak6064	chr14	21436807	21438432	.	1626	40	18	6	42	59	18	6	4	70	36	10
peak6065	chr14	21455123	21456724	.	1602	30	40	32	122	119	45	30	68	872	52	66
peak6066	chr14	21476341	21478811	.	2471	62	82	54	87	94	60	60	36	482	64	66
peak6067	chr14	21510655	21512019	.	1365	27	20	15	32	54	16	7	12	46	31	7
peak6068	chr14	21525797	21526665	.	869	18	14	6	14	38	2	12	8	60	2	38
peak6069	chr14	22498070	22498688	.	619	4	0	2	2	2	2	0	0	24	2	0
peak6070	chr14	22503208	22504106	.	899	2	4	0	0	10	6	0	0	20	0	0
peak6071	chr14	22520154	22520842	.	689	8	8	4	0	13	5	0	0	24	4	0
peak6072	chr14	22548120	22549191	.	1072	7	16	0	2	25	18	18	2	26	6	6
peak6073	chr14	22555320	22559293	.	3974	144	94	64	64	243	162	38	50	98	132	84
peak6074	chr14	22561570	22562384	.	815	22	19	3	12	42	7	16	0	36	24	2
peak6075	chr14	22584530	22585390	.	861	6	0	0	4	4	2	2	0	26	18	2
peak6076	chr14	22586775	22587516	.	742	5	4	0	0	7	6	0	0	28	0	0
peak6077	chr14	22587572	22590567	.	2996	107	90	62	130	142	108	36	52	151	128	80
peak6078	chr14	22595609	22596670	.	1062	0	4	1	0	4	0	1	0	22	4	0
peak6079	chr14	22597840	22599042	.	1203	14	31	28	80	39	15	20	14	320	14	14
peak6080	chr14	22766608	22767548	.	941	22	1452	22	56	49	36	6	14	58	38	14
peak6081	chr14	22822597	22823583	.	987	13	10	14	8	25	18	14	12	20	18	26
peak6082	chr14	22829861	22830459	.	599	20	37	15	15	61	25	4	8	224	49	25
peak6083	chr14	22836575	22837138	.	564	11	18	36	50	6	0	14	38	17	0	20
peak6084	chr14	22837152	22838212	.	1061	7	17	36	65	14	9	23	18	34	6	26
peak6085	chr14	22846696	22847673	.	978	10	8	52	17	12	4	16	0	12	14	33
peak6086	chr14	22857682	22859011	.	1330	10	8	0	4	19	7	14	0	20	2	10
peak6087	chr14	22871040	22877941	.	6902	120	142	178	254	238	95	90	122	2687	148	92
peak6088	chr14	22886088	22887398	.	1311	96	104	96	218	194	62	73	92	317	120	138
peak6089	chr14	22917794	22918705	.	912	28	14	5	18	48	4	10	12	38	25	13
peak6090	chr14	22920334	22921815	.	1482	8	10	2	10	16	7	0	0	24	5	1
peak6091	chr14	22923998	22925951	.	1954	6	7	16	12	16	12	0	0	36	12	0
peak6092	chr14	22928314	22929541	.	1228	30	18	24	44	50	22	34	6	40	18	3
peak6093	chr14	22930216	22931312	.	1097	29	16	25	17	65	24	3	10	26	19	22
peak6094	chr14	22956627	22958417	.	1791	42	82	26	66	74	20	14	66	196	52	37
peak6095	chr14	22980369	22983380	.	3012	56	38	103	182	84	14	38	96	280	80	140
peak6096	chr14	23006680	23007534	.	855	24	20	34	86	48	26	8	26	76	46	36
peak6097	chr14	23009935	23011255	.	1321	12	34	24	28	20	9	41	58	118	34	2
peak6098	chr14	23024597	23025646	.	1050	0	11	0	0	11	2	4	6	30	12	6
peak6099	chr14	23032575	23035392	.	2818	26	22	8	44	88	46	18	4	84	54	28
peak6100	chr14	23047701	23048848	.	1148	2	2	46	44	0	2	29	32	24	0	2
peak6101	chr14	23056824	23058181	.	1358	9	10	46	59	11	4	17	80	138	32	28
peak6102	chr14	23062208	23062865	.	658	2	1	0	0	0	1	8	0	20	8	0
peak6103	chr14	23068997	23070106	.	1110	0	0	0	6	4	4	0	2	20	6	0
peak6104	chr14	23093914	23096594	.	2681	146	158	120	228	272	120	78	78	426	168	225
peak6105	chr14	23103388	23103758	.	371	2	0	1	0	0	0	0	0	22	0	0
peak6106	chr14	23118188	23119470	.	1283	10	4	48	32	12	8	22	18	30	8	24
peak6107	chr14	23231606	23233106	.	1501	16	4	46	50	0	2	22	14	4	26	20
peak6108	chr14	23285319	23286910	.	1592	82	60	74	54	151	54	42	38	616	78	106
peak6109	chr14	23295785	23297145	.	1361	12	2	0	0	8	8	14	2	24	4	4
peak6110	chr14	23300816	23303429	.	2614	191	192	188	320	329	77	236	290	2139	216	107
peak6111	chr14	23320852	23322789	.	1938	100	52	82	110	90	41	81	138	1720	94	50
peak6112	chr14	23351412	23353095	.	1684	26	28	62	138	31	22	44	54	106	10	14
peak6113	chr14	23364854	23367018	.	2165	24	20	74	138	20	8	59	70	40	8	70
peak6114	chr14	23550273	23554148	.	3876	60	46	84	126	102	40	60	52	268	30	74
peak6115	chr14	23554865	23557684	.	2820	80	124	52	205	189	84	34	92	616	112	148
peak6116	chr14	23565520	23568222	.	2703	66	65	52	58	129	24	17	12	174	94	52
peak6117	chr14	23575462	23576704	.	1243	4	2	56	46	2	2	30	52	19	2	20
peak6118	chr14	23576874	23578050	.	1177	16	9	52	64	0	6	16	44	32	4	34
peak6119	chr14	23898164	23899258	.	1095	18	18	46	50	18	3	8	10	9	6	20
peak6120	chr14	23953392	23954158	.	767	21	13	32	57	27	12	18	8	62	14	10
peak6121	chr14	23988507	23989557	.	1051	21	16	21	47	47	14	10	31	38	26	24
peak6122	chr14	24006742	24007757	.	1016	5	22	2	20	12	2	10	0	48	2	6
peak6123	chr14	24036094	24036838	.	745	10	11	30	62	21	12	12	22	88	18	44
peak6124	chr14	24051166	24052779	.	1614	38	62	100	104	46	12	20	54	127	24	21
peak6125	chr14	24080741	24082080	.	1340	21	15	48	100	20	12	52	48	326	26	54
peak6126	chr14	24088690	24090092	.	1403	0	2	0	0	10	2	0	8	26	2	6
peak6127	chr14	24093223	24096225	.	3003	54	57	80	124	135	61	64	37	1320	48	137
peak6128	chr14	24102745	24104752	.	2008	10	5	10	15	10	4	10	0	42	16	12
peak6129	chr14	24107084	24108572	.	1489	3	4	2	2	2	12	0	0	22	6	4
peak6130	chr14	24113155	24116284	.	3130	174	149	118	262	393	124	80	54	568	178	98
peak6131	chr14	24120397	24121582	.	1186	4	0	0	6	13	4	6	0	20	3	0
peak6132	chr14	24131010	24132041	.	1032	12	4	9	41	8	9	4	3	24	0	12
peak6133	chr14	24135385	24143438	.	8054	98	69	104	230	318	144	122	164	2202	188	72
peak6134	chr14	24143652	24145124	.	1473	0	10	0	12	5	5	12	0	50	4	2
peak6135	chr14	24146272	24148687	.	2416	66	42	100	198	193	58	67	128	2486	118	76
peak6136	chr14	24150817	24152172	.	1356	6	0	14	2	0	10	10	10	34	2	2
peak6137	chr14	24157086	24158299	.	1214	12	6	6	4	13	4	10	0	20	10	8
peak6138	chr14	24160813	24161838	.	1026	11	10	12	36	38	33	23	0	22	32	21
peak6139	chr14	24162780	24165151	.	2372	34	34	30	51	15	12	14	2	48	2	28
peak6140	chr14	24171380	24173425	.	2046	38	38	46	76	47	23	36	64	142	41	72
peak6141	chr14	24187826	24189293	.	1468	52	42	22	70	86	31	20	28	246	56	26
peak6142	chr14	24194675	24197374	.	2700	86	104	138	162	266	72	54	94	988	107	222
peak6143	chr14	24199658	24200394	.	737	11	3	6	18	0	4	6	0	24	0	4
peak6144	chr14	24202860	24203915	.	1056	12	4	10	8	1	2	6	4	24	2	8
peak6145	chr14	24209546	24210685	.	1140	20	2	4	5	0	4	4	0	26	4	2
peak6146	chr14	24211854	24217067	.	5214	74	81	56	122	172	120	44	40	466	110	118
peak6147	chr14	24231624	24233323	.	1700	24	25	10	42	69	30	16	8	80	25	48
peak6148	chr14	24235857	24237456	.	1600	14	2	0	2	12	8	0	0	24	4	9
peak6149	chr14	24239435	24243723	.	4289	40	48	30	102	134	72	30	12	136	53	56
peak6150	chr14	24263151	24264525	.	1375	14	12	12	18	13	8	18	2	28	4	20
peak6151	chr14	24270795	24271880	.	1086	32	32	58	128	132	65	24	44	264	119	24
peak6152	chr14	24298297	24301018	.	2722	78	48	40	71	128	57	16	62	560	132	86
peak6153	chr14	24307252	24311988	.	4737	132	86	106	229	152	78	99	130	640	108	50
peak6154	chr14	24316017	24316651	.	635	4	1	39	34	16	2	14	36	0	5	29
peak6155	chr14	24317280	24318743	.	1464	5	4	0	0	17	6	12	0	24	7	16
peak6156	chr14	24332380	24333086	.	707	33	49	28	60	22	6	26	46	46	36	56
peak6157	chr14	24334247	24336088	.	1842	26	15	62	123	31	28	22	36	26	18	70
peak6158	chr14	24338222	24339869	.	1648	5	6	46	27	44	14	22	12	96	18	8
peak6159	chr14	24427201	24428510	.	1310	14	0	22	13	28	16	5	8	26	8	0
peak6160	chr14	24429277	24432342	.	3066	65	45	38	81	179	50	52	72	744	66	68
peak6161	chr14	24433816	24435215	.	1400	6	9	4	2	2	8	4	0	30	2	4
peak6162	chr14	24440939	24443321	.	2383	57	92	32	76	120	45	22	22	102	127	40
peak6163	chr14	25049084	25050461	.	1378	12	3	114	68	32	9	21	22	10	18	16
peak6164	chr14	26597041	26598666	.	1626	18	6	54	60	7	6	42	48	48	16	12
peak6165	chr14	28766426	28767446	.	1021	4	18	24	34	4	4	13	34	18	6	16
peak6166	chr14	28767569	28768771	.	1203	6	12	38	28	12	8	6	10	8	2	36
peak6167	chr14	29926985	29928236	.	1252	4	0	32	56	4	4	22	58	22	0	6
peak6168	chr14	30558750	30560058	.	1309	20	46	28	52	63	20	20	24	296	39	40
peak6169	chr14	30622139	30622582	.	444	16	14	14	14	25	10	0	2	42	24	13
peak6170	chr14	30874036	30875568	.	1533	42	6	102	120	50	21	48	62	98	42	54
peak6171	chr14	31024486	31027446	.	2961	116	80	122	175	114	96	64	98	2174	110	38
peak6172	chr14	31206273	31208792	.	2520	235	218	242	526	499	160	218	448	3054	244	128
peak6173	chr14	31419759	31421002	.	1244	30	40	44	124	84	19	42	50	524	60	32
peak6174	chr14	31456900	31457615	.	716	22	22	19	104	76	24	24	4	94	15	58
peak6175	chr14	31559857	31560334	.	478	18	15	17	25	21	3	8	36	18	25	6
peak6176	chr14	32075892	32078447	.	2556	112	128	170	342	258	99	134	242	3042	223	206
peak6177	chr14	32127593	32128860	.	1268	14	16	42	84	32	4	22	14	16	12	16
peak6178	chr14	32201080	32202289	.	1210	20	13	8	36	62	17	10	15	92	52	7
peak6179	chr14	32203283	32203996	.	714	34	58	48	66	49	41	20	42	82	57	20
peak6180	chr14	33198452	33199284	.	833	6	10	18	23	7	0	25	34	0	8	4
peak6181	chr14	33799931	33800901	.	971	6	0	19	61	2	4	21	42	8	4	10
peak6182	chr14	33950152	33951359	.	1208	38	60	40	102	38	8	27	42	388	26	62
peak6183	chr14	33983926	33984773	.	848	4	10	17	14	18	0	32	20	11	0	4
peak6184	chr14	34059736	34061377	.	1642	36	21	40	59	64	26	28	50	110	16	30
peak6185	chr14	34461531	34463210	.	1680	16	6	66	42	25	10	44	174	1092	20	16
peak6186	chr14	34475268	34476497	.	1230	0	8	21	54	18	8	8	8	18	26	26
peak6187	chr14	34539286	34540485	.	1200	20	26	10	33	66	32	6	4	68	43	21
peak6188	chr14	34629358	34630598	.	1241	48	60	42	110	124	30	64	82	1232	84	28
peak6189	chr14	34713740	34715457	.	1718	41	84	84	162	86	22	74	104	1248	92	20
peak6190	chr14	34873017	34876039	.	3023	226	188	227	440	300	143	158	234	4296	304	189
peak6191	chr14	34980708	34983974	.	3267	44	65	10	74	139	98	22	18	144	84	65
peak6192	chr14	35045797	35047191	.	1395	99	64	120	236	222	56	68	114	792	89	54
peak6193	chr14	35121008	35123804	.	2797	80	82	28	64	114	94	18	22	119	126	40
peak6194	chr14	35292117	35293014	.	898	33	14	3	21	60	27	10	12	40	32	14
peak6195	chr14	35293510	35294434	.	925	8	8	6	14	31	3	0	0	32	6	6
peak6196	chr14	35368735	35369993	.	1259	20	23	44	41	18	10	11	16	3	16	17
peak6197	chr14	35401117	35405496	.	4380	130	149	140	224	245	110	156	210	1772	140	54
peak6198	chr14	35410504	35411554	.	1051	3	4	4	12	11	4	6	0	24	4	3
peak6199	chr14	35533040	35536025	.	2986	68	60	162	324	124	28	70	190	148	124	98
peak6200	chr14	35808321	35810112	.	1792	106	76	48	100	170	70	72	62	352	104	22
peak6201	chr14	35824284	35825708	.	1425	14	12	42	90	18	15	40	68	12	19	40
peak6202	chr14	35825966	35827260	.	1295	70	65	76	78	224	50	54	44	542	78	168
peak6203	chr14	36319961	36320648	.	688	16	18	4	8	28	24	2	0	38	8	0
peak6204	chr14	36503848	36504489	.	642	6	16	46	12	14	2	12	14	2	6	4
peak6205	chr14	36517316	36518264	.	949	4	4	56	25	2	6	24	20	6	6	30
peak6206	chr14	36520298	36521510	.	1213	15	10	42	68	17	2	10	48	2	20	40
peak6207	chr14	36580786	36583087	.	2302	10	20	30	96	24	10	47	62	56	12	32
peak6208	chr14	36647149	36648468	.	1320	20	14	25	43	12	6	32	10	2	4	20
peak6209	chr14	37583394	37584691	.	1298	9	2	58	34	3	6	41	40	4	8	36
peak6210	chr14	37591367	37592563	.	1197	22	28	84	100	28	0	52	48	14	0	15
peak6211	chr14	37622466	37623073	.	608	16	4	52	25	13	0	7	11	0	8	16
peak6212	chr14	38254835	38256636	.	1802	14	4	54	70	36	8	7	27	12	19	32
peak6213	chr14	39102482	39105032	.	2551	64	66	116	126	88	58	34	52	1286	46	87
peak6214	chr14	39107216	39107966	.	751	4	4	4	0	10	4	0	0	28	0	0
peak6215	chr14	39112077	39114545	.	2469	37	73	14	24	63	27	13	10	34	41	18
peak6216	chr14	39169725	39170984	.	1260	70	84	72	84	126	42	26	46	336	75	28
peak6217	chr14	39171126	39176500	.	5375	84	80	72	116	187	92	32	22	408	65	78
peak6218	chr14	39266112	39268316	.	2205	104	130	112	278	338	130	42	101	1012	206	136
peak6219	chr14	39430653	39433698	.	3046	152	134	134	330	306	112	128	158	1420	192	157
peak6220	chr14	40629522	40630261	.	740	8	18	40	46	6	2	16	16	2	28	12
peak6221	chr14	41606549	41607342	.	794	6	0	24	60	4	1	5	68	16	2	5
peak6222	chr14	41673133	41675053	.	1921	9	18	29	56	16	9	12	38	12	4	16
peak6223	chr14	43326363	43327008	.	646	12	2	24	6	4	4	30	20	0	10	2
peak6224	chr14	44886808	44887565	.	758	9	0	22	42	11	5	4	4	20	4	14
peak6225	chr14	44896782	44898078	.	1297	164	110	132	262	181	86	120	150	999	195	20
peak6226	chr14	44911564	44912812	.	1249	0	7	54	26	18	4	12	20	24	8	14
peak6227	chr14	44961922	44963139	.	1218	26	16	34	27	105	55	4	18	116	46	66
peak6228	chr14	45080145	45080945	.	801	18	20	38	38	17	2	10	44	8	22	12
peak6229	chr14	45083630	45084724	.	1095	87	92	110	124	91	56	64	64	452	93	58
peak6230	chr14	45133919	45134760	.	842	54	49	32	80	121	30	20	25	286	16	53
peak6231	chr14	45135924	45136494	.	571	4	15	2	24	31	23	0	8	26	24	6
peak6232	chr14	45252209	45254634	.	2426	102	136	82	154	235	77	56	78	344	118	88
peak6233	chr14	46820120	46820809	.	690	9	8	40	42	2	0	8	28	4	15	14
peak6234	chr14	47062035	47062661	.	627	0	0	0	0	0	0	0	0	20	4	0
peak6235	chr14	47674109	47676697	.	2589	18	22	50	114	26	27	42	62	16	28	48
peak6236	chr14	49584349	49587029	.	2681	132	75	34	118	252	77	21	32	374	136	74
peak6237	chr14	49589926	49590893	.	968	13	8	8	4	17	8	2	2	26	8	0
peak6238	chr14	49593913	49595120	.	1208	6	0	2	0	6	5	5	0	26	2	0
peak6239	chr14	49597645	49600691	.	3047	60	59	58	86	113	74	50	48	1076	50	46
peak6240	chr14	49619874	49622131	.	2258	203	225	146	255	314	96	72	136	2794	153	222
peak6241	chr14	49626199	49627883	.	1685	2	6	12	10	8	13	10	8	42	8	4
peak6242	chr14	49632156	49636315	.	4160	174	236	205	580	458	164	100	224	3210	302	212
peak6243	chr14	49687654	49688678	.	1025	41	55	40	110	86	36	30	54	426	66	42
peak6244	chr14	49690228	49691728	.	1501	10	4	2	10	30	4	10	12	32	11	0
peak6245	chr14	49692483	49694120	.	1638	88	64	88	102	36	38	61	60	826	26	74
peak6246	chr14	49766644	49769285	.	2642	144	99	252	345	191	106	175	306	2290	182	80
peak6247	chr14	49852065	49854096	.	2032	36	55	36	48	76	82	18	6	126	26	24
peak6248	chr14	49856411	49858009	.	1599	8	2	0	0	2	4	2	4	32	22	4
peak6249	chr14	49862678	49863266	.	589	17	25	18	41	41	25	11	12	34	42	22
peak6250	chr14	49867808	49868622	.	815	56	26	36	120	86	39	31	24	122	54	32
peak6251	chr14	49891653	49896868	.	5216	222	192	242	344	420	138	132	238	2196	350	212
peak6252	chr14	49999089	50004191	.	5103	155	133	112	238	428	254	73	72	170	141	48
peak6253	chr14	50073614	50074084	.	471	4	5	8	18	2	0	0	28	6	0	4
peak6254	chr14	50116046	50116921	.	876	46	34	44	78	94	33	18	34	300	68	56
peak6255	chr14	50230442	50232609	.	2168	179	128	126	434	266	122	126	206	1200	200	116
peak6256	chr14	50311075	50313311	.	2237	126	132	88	192	422	145	96	90	498	105	106
peak6257	chr14	50314009	50315417	.	1409	1	2	2	0	32	9	34	2	14	8	0
peak6258	chr14	50396414	50397211	.	798	27	15	55	110	12	19	36	80	76	44	20
peak6259	chr14	50531483	50533356	.	1874	67	98	152	190	140	54	116	224	1194	118	60
peak6260	chr14	50560029	50561349	.	1321	43	30	66	72	44	20	44	72	118	42	26
peak6261	chr14	50667457	50668880	.	1424	71	46	96	105	110	40	100	172	1324	72	30
peak6262	chr14	50829770	50831933	.	2164	102	89	120	180	218	73	130	216	2386	88	90
peak6263	chr14	50943914	50945156	.	1243	8	20	39	110	27	18	66	32	61	36	34
peak6264	chr14	51093658	51095985	.	2328	44	67	81	106	102	39	58	78	90	42	93
peak6265	chr14	51239349	51240798	.	1450	38	20	43	46	71	23	6	12	66	42	16
peak6266	chr14	51343099	51343585	.	487	0	0	0	6	0	1	0	2	20	4	10
peak6267	chr14	51650704	51653256	.	2553	124	154	150	244	189	59	89	128	896	83	83
peak6268	chr14	51853895	51855263	.	1369	14	10	22	0	11	19	42	10	4	12	1
peak6269	chr14	51860192	51861876	.	1685	34	43	14	14	92	41	2	15	120	37	19
peak6270	chr14	51989186	51990570	.	1385	65	66	54	112	144	61	34	62	574	100	44
peak6271	chr14	52068498	52069945	.	1448	8	43	30	104	30	20	33	36	60	36	27
peak6272	chr14	52267556	52268907	.	1352	24	46	60	64	54	18	29	32	96	35	110
peak6273	chr14	52313806	52315806	.	2001	60	64	66	128	141	62	24	46	1082	91	72
peak6274	chr14	52551564	52554014	.	2451	151	108	140	270	301	72	110	228	1622	137	222
peak6275	chr14	52694524	52698771	.	4248	127	106	82	142	184	69	134	164	2832	108	108
peak6276	chr14	52704019	52705421	.	1403	0	0	20	2	10	8	8	2	24	8	24
peak6277	chr14	52705869	52707788	.	1920	20	25	20	56	38	20	10	13	80	33	47
peak6278	chr14	52729702	52731157	.	1456	62	50	74	124	154	39	44	32	1158	88	74
peak6279	chr14	52733571	52735002	.	1432	5	2	0	6	10	6	17	4	36	8	12
peak6280	chr14	52790708	52792325	.	1618	28	36	64	50	76	42	42	48	228	44	22
peak6281	chr14	52950332	52951831	.	1500	18	5	82	62	14	6	24	33	196	16	20
peak6282	chr14	53151190	53153956	.	2767	150	67	140	224	302	80	120	226	2522	170	132
peak6283	chr14	53217265	53218607	.	1343	39	10	44	32	67	43	24	44	120	22	24
peak6284	chr14	53953246	53954264	.	1019	6	2	58	41	15	12	12	45	32	0	18
peak6285	chr14	53954514	53955709	.	1196	4	12	22	89	14	20	40	25	40	6	4
peak6286	chr14	54392780	54394097	.	1318	8	8	68	51	22	4	18	24	26	33	26
peak6287	chr14	54396401	54398326	.	1926	50	100	84	112	141	59	36	54	244	72	70
peak6288	chr14	54440263	54441753	.	1491	76	81	108	168	114	56	146	206	1028	121	30
peak6289	chr14	54488213	54489638	.	1426	139	152	126	216	241	95	74	106	875	145	28
peak6290	chr14	54497684	54498570	.	887	3	4	0	0	2	6	0	2	24	0	0
peak6291	chr14	54505489	54506423	.	935	0	10	0	0	1	4	0	0	28	4	2
peak6292	chr14	54509460	54510652	.	1193	72	80	68	134	127	54	38	66	475	42	42
peak6293	chr14	54564849	54568628	.	3780	152	146	194	354	303	152	206	281	2330	226	202
peak6294	chr14	54901623	54903852	.	2230	101	72	149	228	210	60	142	192	2352	167	39
peak6295	chr14	55026781	55027900	.	1120	66	82	50	100	115	43	24	32	388	58	84
peak6296	chr14	55050290	55052794	.	2505	90	92	126	289	258	108	130	136	1574	102	94
peak6297	chr14	55128826	55130393	.	1568	38	12	80	86	84	26	36	80	690	50	56
peak6298	chr14	55191188	55192263	.	1076	34	14	2	18	57	18	4	10	42	24	6
peak6299	chr14	55270905	55272447	.	1543	48	20	40	70	52	34	54	62	628	56	72
peak6300	chr14	55411241	55412161	.	921	46	34	28	44	78	28	26	58	282	44	50
peak6301	chr14	55455841	55457153	.	1313	6	4	30	38	13	8	14	38	22	4	10
peak6302	chr14	55579161	55581543	.	2383	106	89	98	204	160	38	68	76	1305	104	70
peak6303	chr14	56117800	56119874	.	2075	60	34	148	206	73	19	143	246	978	76	32
peak6304	chr14	56579498	56580293	.	796	46	124	52	52	147	79	50	44	636	87	38
peak6305	chr14	56797175	56799163	.	1989	8	20	54	83	24	8	16	48	27	12	28
peak6306	chr14	56808868	56809824	.	957	19	22	37	56	20	16	32	48	10	4	32
peak6307	chr14	56816598	56817021	.	424	0	2	38	12	0	0	20	28	6	17	0
peak6308	chr14	57265851	57266319	.	469	6	2	0	0	5	2	0	0	22	0	0
peak6309	chr14	57267603	57270246	.	2644	154	110	64	170	284	80	58	84	712	117	142
peak6310	chr14	57389889	57392245	.	2357	92	139	78	332	364	82	76	82	2146	162	70
peak6311	chr14	57864864	57866466	.	1603	12	8	82	91	8	2	22	72	22	12	38
peak6312	chr14	58151394	58152572	.	1179	8	23	42	32	28	21	58	88	154	15	41
peak6313	chr14	58199440	58200729	.	1290	28	30	14	44	34	24	14	26	288	42	82
peak6314	chr14	58240153	58242971	.	2819	22	28	12	28	50	15	14	16	84	14	8
peak6315	chr14	58244486	58245230	.	745	55	46	8	63	79	35	6	10	50	56	54
peak6316	chr14	58297250	58300104	.	2855	106	135	136	228	312	94	74	140	2491	150	74
peak6317	chr14	58395600	58396730	.	1131	8	6	119	42	25	19	56	82	136	29	6
peak6318	chr14	58426740	58427328	.	589	24	18	10	8	46	12	0	0	54	17	20
peak6319	chr14	58637375	58639074	.	1700	30	38	134	113	49	17	78	70	450	34	22
peak6320	chr14	59187724	59190600	.	2877	124	122	94	174	307	60	48	62	964	194	152
peak6321	chr14	59463584	59465700	.	2117	70	44	140	234	60	13	82	134	384	50	20
peak6322	chr14	59483360	59485279	.	1920	116	112	74	204	266	69	72	76	1312	94	215
peak6323	chr14	59630406	59630986	.	581	0	0	12	16	2	0	6	32	5	0	2
peak6324	chr14	59726836	59727613	.	778	10	14	46	100	6	6	34	8	4	12	40
peak6325	chr14	59869595	59871111	.	1517	20	6	60	56	28	11	50	55	38	12	34
peak6326	chr14	60091294	60093841	.	2548	82	138	58	85	184	82	38	20	504	102	34
peak6327	chr14	60164683	60165836	.	1154	24	20	20	53	49	11	36	44	194	38	1
peak6328	chr14	60248129	60250431	.	2303	148	104	142	266	203	79	109	194	1984	167	66
peak6329	chr14	60327615	60328285	.	671	9	14	32	14	3	4	19	14	26	6	6
peak6330	chr14	60637213	60638223	.	1011	20	0	54	24	20	6	0	6	6	0	18
peak6331	chr14	60647224	60650497	.	3274	38	60	132	152	100	44	52	82	134	40	60
peak6332	chr14	60656448	60658246	.	1799	36	22	58	107	108	10	22	36	158	53	35
peak6333	chr14	60721334	60724620	.	3287	55	82	144	224	143	52	46	112	794	62	82
peak6334	chr14	60734518	60735493	.	976	2	4	2	10	8	3	2	0	22	10	10
peak6335	chr14	60980756	60981913	.	1158	24	14	18	34	35	18	8	6	42	42	28
peak6336	chr14	61188160	61189468	.	1309	24	24	46	52	80	31	22	16	78	18	22
peak6337	chr14	61279770	61281962	.	2193	66	80	142	226	123	83	62	102	390	96	83
peak6338	chr14	61320445	61323493	.	3049	109	52	86	244	196	80	74	122	2160	90	108
peak6339	chr14	61323760	61325125	.	1366	4	4	0	0	21	3	10	0	30	6	0
